observation_date,Value
1972-01-01,34.7642
1972-02-01,35.3618
1972-03-01,35.6340
1972-04-01,36.7574
1972-05-01,36.0733
1972-06-01,35.5017
1972-07-01,35.3340
1972-08-01,37.3900
1972-09-01,37.9557
1972-10-01,39.2237
1972-11-01,40.2530
1972-12-01,41.2973
1973-01-01,42.2650
1973-02-01,43.1941
1973-03-01,42.7019
1973-04-01,42.6086
1973-05-01,42.5234
1973-06-01,42.8773
1973-07-01,43.1852
1973-08-01,40.5475
1973-09-01,42.9529
1973-10-01,42.9329
1973-11-01,42.8571
1973-12-01,40.6737
1974-01-01,36.6608
1974-02-01,35.8409
1974-03-01,35.6170
1974-04-01,35.8483
1974-05-01,36.6835
1974-06-01,36.9913
1974-07-01,37.8257
1974-08-01,37.8221
1974-09-01,39.2156
1974-10-01,39.0198
1974-11-01,35.8209
1974-12-01,30.5494
1975-01-01,27.8009
1975-02-01,26.2782
1975-03-01,28.2649
1975-04-01,29.8502
1975-05-01,30.5229
1975-06-01,31.3163
1975-07-01,32.2471
1975-08-01,33.8206
1975-09-01,35.0772
1975-10-01,34.7754
1975-11-01,35.2014
1975-12-01,36.7147
1976-01-01,36.8603
1976-02-01,38.8023
1976-03-01,39.1604
1976-04-01,39.7979
1976-05-01,40.5709
1976-06-01,41.2871
1976-07-01,41.5504
1976-08-01,43.0243
1976-09-01,39.8881
1976-10-01,38.5208
1976-11-01,42.7025
1976-12-01,45.0826
1977-01-01,43.9566
1977-02-01,43.7633
1977-03-01,45.8232
1977-04-01,45.3327
1977-05-01,45.2359
1977-06-01,47.0109
1977-07-01,47.4303
1977-08-01,47.2062
1977-09-01,47.1596
1977-10-01,47.5402
1977-11-01,46.3023
1977-12-01,47.3537
1978-01-01,43.3255
1978-02-01,44.9139
1978-03-01,47.2713
1978-04-01,49.3358
1978-05-01,47.8198
1978-06-01,47.8382
1978-07-01,48.8728
1978-08-01,49.0031
1978-09-01,48.7217
1978-10-01,49.5177
1978-11-01,50.9373
1978-12-01,50.3933
1979-01-01,51.0799
1979-02-01,49.4574
1979-03-01,49.2172
1979-04-01,43.8520
1979-05-01,47.4420
1979-06-01,45.4470
1979-07-01,43.6755
1979-08-01,39.1793
1979-09-01,42.1522
1979-10-01,40.7478
1979-11-01,38.2704
1979-12-01,37.9497
1980-01-01,35.4743
1980-02-01,37.3266
1980-03-01,35.4267
1980-04-01,32.2280
1980-05-01,28.8854
1980-06-01,28.9769
1980-07-01,29.0462
1980-08-01,28.8341
1980-09-01,31.7392
1980-10-01,33.3293
1980-11-01,34.8290
1980-12-01,33.0794
1981-01-01,31.7733
1981-02-01,31.3783
1981-03-01,32.6974
1981-04-01,33.7707
1981-05-01,34.3044
1981-06-01,34.2019
1981-07-01,33.0852
1981-08-01,31.9861
1981-09-01,30.1275
1981-10-01,30.2593
1981-11-01,28.2801
1981-12-01,27.0176
1982-01-01,24.8707
1982-02-01,26.0299
1982-03-01,27.7274
1982-04-01,29.2063
1982-05-01,30.3265
1982-06-01,30.6429
1982-07-01,31.9905
1982-08-01,29.9219
1982-09-01,28.6346
1982-10-01,26.7801
1982-11-01,26.8479
1982-12-01,28.5977
1983-01-01,30.2679
1983-02-01,32.3182
1983-03-01,32.3398
1983-04-01,33.1678
1983-05-01,34.0971
1983-06-01,35.4928
1983-07-01,36.5774
1983-08-01,38.8896
1983-09-01,39.7642
1983-10-01,40.5032
1983-11-01,40.6226
1983-12-01,41.9986
1984-01-01,44.3505
1984-02-01,43.7196
1984-03-01,44.1768
1984-04-01,42.8451
1984-05-01,42.0536
1984-06-01,42.3544
1984-07-01,43.6074
1984-08-01,44.5815
1984-09-01,42.5777
1984-10-01,42.2227
1984-11-01,44.2807
1984-12-01,45.4887
1985-01-01,46.4628
1985-02-01,44.7052
1985-03-01,45.0906
1985-04-01,44.7483
1985-05-01,44.4557
1985-06-01,44.3348
1985-07-01,46.0355
1985-08-01,45.5212
1985-09-01,45.2146
1985-10-01,45.0068
1985-11-01,45.9325
1985-12-01,44.9107
1986-01-01,46.8913
1986-02-01,46.4423
1986-03-01,45.0930
1986-04-01,44.2005
1986-05-01,43.8660
1986-06-01,44.8788
1986-07-01,44.9902
1986-08-01,44.2460
1986-09-01,45.6470
1986-10-01,44.5812
1986-11-01,45.0980
1986-12-01,46.2849
1987-01-01,46.7074
1987-02-01,48.9860
1987-03-01,47.8475
1987-04-01,47.2051
1987-05-01,46.2220
1987-06-01,45.1492
1987-07-01,44.6868
1987-08-01,44.9600
1987-09-01,46.0159
1987-10-01,48.8663
1987-11-01,48.5263
1987-12-01,47.2795
1988-01-01,46.8834
1988-02-01,47.4481
1988-03-01,48.0717
1988-04-01,50.4644
1988-05-01,50.9516
1988-06-01,51.4343
1988-07-01,47.7006
1988-08-01,48.9183
1988-09-01,50.9728
1988-10-01,51.4810
1988-11-01,52.8617
1988-12-01,53.7035
1989-01-01,54.6748
1989-02-01,53.8994
1989-03-01,52.3665
1989-04-01,52.1156
1989-05-01,50.2583
1989-06-01,48.0716
1989-07-01,44.9310
1989-08-01,48.7547
1989-09-01,48.5979
1989-10-01,46.0846
1989-11-01,47.0780
1989-12-01,47.6529
1990-01-01,39.0025
1990-02-01,46.6022
1990-03-01,49.2150
1990-04-01,47.9049
1990-05-01,49.3076
1990-06-01,50.6797
1990-07-01,49.1456
1990-08-01,48.9452
1990-09-01,49.6298
1990-10-01,47.7513
1990-11-01,41.1322
1990-12-01,39.6388
1991-01-01,40.9894
1991-02-01,38.4894
1991-03-01,39.2276
1991-04-01,41.2933
1991-05-01,43.3935
1991-06-01,45.2898
1991-07-01,48.3285
1991-08-01,44.9189
1991-09-01,49.0771
1991-10-01,48.4982
1991-11-01,47.6961
1991-12-01,47.3023
1992-01-01,43.3345
1992-02-01,46.9648
1992-03-01,48.6433
1992-04-01,49.9198
1992-05-01,52.2247
1992-06-01,51.0166
1992-07-01,53.6222
1992-08-01,52.0552
1992-09-01,51.2683
1992-10-01,52.6874
1992-11-01,52.7990
1992-12-01,54.0897
1993-01-01,55.1953
1993-02-01,54.7433
1993-03-01,55.3797
1993-04-01,55.7271
1993-05-01,55.8600
1993-06-01,55.4137
1993-07-01,53.9192
1993-08-01,52.8505
1993-09-01,55.1039
1993-10-01,58.3723
1993-11-01,59.5244
1993-12-01,60.2357
1994-01-01,61.7246
1994-02-01,63.1244
1994-03-01,62.4160
1994-04-01,63.5049
1994-05-01,63.0662
1994-06-01,63.8417
1994-07-01,63.8322
1994-08-01,65.8255
1994-09-01,65.6553
1994-10-01,66.2323
1994-11-01,66.2858
1994-12-01,66.8681
1995-01-01,67.6758
1995-02-01,68.0587
1995-03-01,68.0028
1995-04-01,66.8657
1995-05-01,65.5903
1995-06-01,65.9684
1995-07-01,63.3823
1995-08-01,66.0829
1995-09-01,67.0338
1995-10-01,65.3286
1995-11-01,64.9149
1995-12-01,66.1037
1996-01-01,63.2747
1996-02-01,66.1121
1996-03-01,58.8556
1996-04-01,68.0390
1996-05-01,68.0125
1996-06-01,69.0732
1996-07-01,70.4145
1996-08-01,68.0267
1996-09-01,68.5752
1996-10-01,64.8660
1996-11-01,67.3060
1996-12-01,68.8503
1997-01-01,69.7711
1997-02-01,70.6981
1997-03-01,71.7562
1997-04-01,67.6757
1997-05-01,68.8054
1997-06-01,71.1718
1997-07-01,70.5644
1997-08-01,72.5983
1997-09-01,73.2852
1997-10-01,74.4765
1997-11-01,77.2997
1997-12-01,76.6701
1998-01-01,76.0094
1998-02-01,75.5390
1998-03-01,75.4337
1998-04-01,75.8281
1998-05-01,76.3433
1998-06-01,68.2957
1998-07-01,58.9196
1998-08-01,78.8150
1998-09-01,79.6604
1998-10-01,81.9253
1998-11-01,81.1942
1998-12-01,82.0985
1999-01-01,81.5882
1999-02-01,82.4136
1999-03-01,82.1152
1999-04-01,82.7485
1999-05-01,83.5135
1999-06-01,83.2456
1999-07-01,83.0897
1999-08-01,86.1803
1999-09-01,84.1942
1999-10-01,87.0134
1999-11-01,86.3854
1999-12-01,85.5924
2000-01-01,87.4165
2000-02-01,86.5826
2000-03-01,86.4887
2000-04-01,87.3784
2000-05-01,87.3377
2000-06-01,85.9027
2000-07-01,82.3001
2000-08-01,83.0146
2000-09-01,82.6336
2000-10-01,81.3510
2000-11-01,77.6401
2000-12-01,74.9711
2001-01-01,71.3888
2001-02-01,73.0052
2001-03-01,77.0077
2001-04-01,77.1031
2001-05-01,79.0150
2001-06-01,77.4419
2001-07-01,78.2029
2001-08-01,77.6874
2001-09-01,75.1888
2001-10-01,73.7689
2001-11-01,76.9127
2001-12-01,79.8018
2002-01-01,79.2610
2002-02-01,79.6652
2002-03-01,80.7445
2002-04-01,83.1989
2002-05-01,83.4955
2002-06-01,84.9708
2002-07-01,87.3120
2002-08-01,86.0970
2002-09-01,85.7332
2002-10-01,84.7742
2002-11-01,88.1994
2002-12-01,84.8449
2003-01-01,89.1042
2003-02-01,86.0091
2003-03-01,85.6513
2003-04-01,84.6720
2003-05-01,84.1135
2003-06-01,85.1167
2003-07-01,88.6832
2003-08-01,84.7187
2003-09-01,89.5721
2003-10-01,88.3825
2003-11-01,89.3519
2003-12-01,89.2083
2004-01-01,89.9719
2004-02-01,90.4061
2004-03-01,89.6275
2004-04-01,88.9610
2004-05-01,87.8425
2004-06-01,84.8279
2004-07-01,84.1634
2004-08-01,86.3695
2004-09-01,85.9194
2004-10-01,87.9652
2004-11-01,85.9483
2004-12-01,87.7062
2005-01-01,87.2694
2005-02-01,90.8676
2005-03-01,87.0094
2005-04-01,86.4737
2005-05-01,86.3610
2005-06-01,87.5439
2005-07-01,83.7613
2005-08-01,88.4602
2005-09-01,90.8216
2005-10-01,91.6225
2005-11-01,88.9743
2005-12-01,86.8751
2006-01-01,89.5599
2006-02-01,87.0447
2006-03-01,88.8945
2006-04-01,89.1956
2006-05-01,87.9397
2006-06-01,88.6948
2006-07-01,82.1767
2006-08-01,86.9161
2006-09-01,84.4328
2006-10-01,83.0133
2006-11-01,84.6167
2006-12-01,87.4539
2007-01-01,83.0912
2007-02-01,86.2957
2007-03-01,87.0546
2007-04-01,89.5248
2007-05-01,88.7487
2007-06-01,90.0153
2007-07-01,87.3898
2007-08-01,87.6728
2007-09-01,83.5229
2007-10-01,82.5102
2007-11-01,83.0408
2007-12-01,83.0102
2008-01-01,80.1390
2008-02-01,80.4114
2008-03-01,75.0284
2008-04-01,71.4615
2008-05-01,70.5995
2008-06-01,72.7239
2008-07-01,70.4032
